,bic_x,bic_y,bic_z,bic_n,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO,PPIACO Fore
2001-06-01,1280.9950595711123,1494.739022171593,-248.29426278511204,-33.03704144313204,-20.83316090507599,-53.96822748624209,0.12690138223418837,-14.276,115.11,-0.4334,-1.5334,1.9480687205453835
2001-09-01,1280.9875676467216,1497.7525009580263,-246.88254417551667,-18.038527632486748,-18.210296543045594,13.663063508254751,-0.097219170659487,9.422,-132.494,-0.7333,-2.8666,0.55548123232723
2001-12-01,1281.0864497863517,1500.619976235242,-245.01664318528336,-4.916019411837473,-7.157377925827355,-44.799761895047155,-0.35165150239569215,102.089,91.275,-0.6333,-3.9667,-1.312252798840793
2002-03-01,1286.7212558156916,1502.1307574443379,-244.8196829216774,2.611353186858234,36.54117324450359,9.630142862971713,-0.46431090143741527,-104.824,80.068,0.7,-0.5,-2.6394763994203965
2002-06-01,1295.9770533339674,1501.2553460933823,-238.84105313977463,7.325794641318618,-20.00489605329785,37.80528571778303,0.0014134591375508099,18.766,-34.993,0.8333,1.9333,-1.5697381997101982
2002-09-01,1295.8595000589587,1501.7826778067483,-235.975169888683,19.352049064420196,-4.496537631978709,8.685971430669815,0.3341680754825305,19.349,-21.23,-0.4334,0.8334,0.1817809001449009
2002-12-01,1296.1021573799028,1500.7808715914305,-233.62367242493391,19.746623317534386,5.041677420812775,-3.280417141598112,0.027140845289518295,-13.189,-38.96,0.1001,1.4,0.5075904500724504
2003-03-01,1296.1666307338976,1500.6191471595755,-233.68980170961012,20.466260573401478,-2.2505935475123358,-17.55225028495887,0.05632450717371097,-9.272,54.261,0.8,4.9666,0.9537952250362252
2003-06-01,1295.6772489344096,1501.1645498465984,-231.37709515645506,34.702935910478864,-5.059156128507402,11.173049829024682,0.35379470430422666,60.353,42.068999999999996,-2.1667,-0.8666,3.4309529807360373
2003-09-01,1297.2443081777083,1501.274580613403,-206.42469778245513,46.24583164027043,21.10570632289556,23.53142989741481,-0.6544031774174641,33.2,116.24,1.6666,0.9,1.1068232600711652
2003-12-01,1296.6747457480576,1502.4054774662252,-187.82215463077318,46.28023340094366,25.943423793737338,60.614857938448885,0.27399809354952165,-72.578,-72.958,-0.6666,1.1666,1.0240939560426991
2004-03-01,1300.791441655728,1504.7429587886209,-184.9712248687527,46.26424896953119,-13.4651457237576,7.185714763069328,-0.10224114387028702,20.59,-85.07,0.8667,2.9667,1.0810963736256194
2004-06-01,1301.2904415174526,1505.6905326097894,-181.97649813400196,49.06803586720908,0.15691256574544177,-29.7165711421584,0.28533531367782783,-24.948,32.874,-0.1,4.0667,1.8353378241753715
2004-09-01,1301.5012515372769,1506.166475502975,-181.510662142808,52.9378210188596,-9.885052460552735,-4.68034268529504,0.13120118820669668,47.115,27.085,-0.2667,1.4333,2.7278826945052232
2004-12-01,1302.807580253835,1506.0227334852248,-181.0141090606608,54.230768730259335,12.91496852366836,8.025794388822977,-0.027959287075981984,-0.5920000000000001,9.431000000000001,0.8333,2.8333,2.210049616703134
2005-03-01,1302.707662109958,1505.9604085596363,-178.70018363470427,54.50791299839159,7.512181114201016,8.587876633293787,0.3165444277544109,-48.648,16.834,-1.0666,1.5334,2.4593497700218805
2005-06-01,1304.074338311016,1505.9639280011688,-172.8875965480424,55.157052646711485,-14.951891331479393,11.886325979976272,-0.2367133433473535,55.086000000000006,-93.546,0.3333,2.4666,2.088969862013128
2005-09-01,1306.1460709674159,1507.0626511450223,-171.99394280447186,55.255912992354645,13.063265201112369,-30.286604412014242,-0.008708006008412095,-15.187000000000001,64.092,1.6333,4.1667,2.240021917207877
2005-12-01,1306.3159938036717,1507.5205587286766,-164.19359601188802,58.06633213385571,1.76315912066742,7.464837352791456,0.6480951963949527,-67.404,-37.729,-1.1,5.6,3.010693150324726
2006-03-01,1307.997932671011,1507.241615372292,-155.73555765845632,63.02670075835382,-25.903704527599547,-10.612697588325126,-0.051142882163028425,83.34100000000001,105.88600000000001,-0.7999,-1.5333,4.046415890194835
2006-06-01,1312.955147077323,1508.7051888144817,-154.2572749417498,84.25984893635683,17.794177283440277,35.98678144700493,-0.35064572929781707,-61.343999999999994,-164.75,0.7666,2.6333,1.8145295341169005
2006-09-01,1315.4889802008274,1513.6799991107973,-150.94809638963872,84.68718583169306,-13.861093629935832,-44.30793113179705,0.09625256242130978,10.658,-12.015999999999998,0.1,1.3,2.1420377204701406
2006-12-01,1314.6381158117802,1513.1007917946206,-150.96105382883803,85.12446422543142,-4.053456177961498,-31.391158679078227,0.09775153745278586,37.900999999999996,106.897,-2.7334,-2.5667,1.8052226322820843
2007-03-01,1314.212129896022,1514.3766975290216,-131.15697053210204,96.89979897618699,12.7283262932231,23.924104792553074,-1.0347090775283285,-41.903,-94.16,2.8171,2.5667,0.05645357936925044
2007-06-01,1314.9491792531817,1515.6674082046243,-99.73929775431495,100.60651849196532,-9.124204224066139,-23.309537124468157,0.506014553483003,-39.202,52.357,0.3303,6.1333,1.0605521476215503
2007-09-01,1315.2211034254908,1516.1019810534804,-99.73121383050865,114.95096733359482,-21.155322534439684,6.957077725319108,0.4357287320898018,40.066,-4.104,-1.006,0.8334,3.0896512885729304
2007-12-01,1316.061289564619,1516.0997229040404,-95.76472319189848,117.64811760541491,3.3332064793361926,2.5326466351914645,-0.14096276074611896,-29.333000000000002,10.575999999999999,1.2427,3.7666,2.1871507731437583
2008-03-01,1316.0912118220967,1516.0616965652503,-92.22819101411062,118.88923119518886,-9.733276112398286,5.749987981114878,0.4125023435523286,-58.676,-185.813,-0.2707,6.4334,2.8189304638862547
2008-06-01,1316.4107859027808,1519.1376730414052,-91.36816493814594,125.56926858768458,-29.310365667438973,-70.87520721133107,0.13922140613139716,45.625,171.50900000000001,0.488,12.1333,4.2647182783317525
2008-09-01,1318.352168088122,1525.932110705368,-91.14458663692555,153.97332029216562,0.6637805995366186,26.078475673201375,0.2787328436788383,-97.09299999999999,-166.201,0.5553,4.4667,7.412150966999052
2008-12-01,1321.8515181191433,1530.1080684016786,-91.00400774308257,157.5635428685172,-38.43893164027803,-50.83331459607918,0.389359706207303,-18.647000000000002,-253.729,-8.3356,-22.4334,6.233970580199432
2009-03-01,1322.0020556367106,1534.6353053064804,10.370800328052367,343.06127056310953,-30.522158984166815,-131.99158875764752,-3.100624176275618,74.80199999999999,166.918,3.5413,-8.5,-5.232977651880341
2009-06-01,1326.0149224561708,1543.7405962097293,49.486878231586566,344.5009533143902,11.607504609499912,-12.42775325458851,-0.44385450576537044,-18.686,150.264,2.6003,1.8,-6.539786591128205
2009-09-01,1325.9692571403286,1546.3131207357226,56.64639048373849,353.6429310678129,-0.5098972343000527,52.648948047246904,0.7738072965407776,114.23200000000001,76.928,0.7077,2.5334,-3.2038719546769228
2009-12-01,1330.8454570174356,1546.3239993385516,56.64914436179078,357.7929893746477,45.38686165941997,62.36056882834814,0.7473643779244665,-87.425,111.73100000000001,-0.151,3.0333,-0.9089631728061536
