,FAVAR,,,,VARMAX,,,,ARMA,,,,VAR,,,,,HWES ,,,,HWES ,,,,,
,aic,,bic,,aic,,bic,,aic,,bic,,aic,,bic,,,aic,,bic,,0.5,,0.6,,0.7,
,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse,MAPE,rmse
PCECC96,4.565575776,49.280383,7.442333261,63.18444555,4.487941287,46.27490054,4.409761249,47.84642659,3.695097736,41.21782921,3.698913234,43.34465132,5.540996535,53.75721919,4.21965428,48.17887761,PCECC97,3.09220823,59.9254251,3.09220823,59.9254251,3.608882754,63.04265631,4.177877396,66.44247097,4.813676957,70.16831111
GDPC1,2.369759997,84.13046328,3.19724335,104.0865495,2.930192177,83.62899011,2.653255805,89.19802875,1.832743951,83.91409272,1.900241638,89.75333025,2.909736966,90.77442115,2.632728478,89.2214602,GDPC2,2.02534997,118.796695,2.02534997,118.796695,2.26815049,124.7072612,2.545947263,131.1040218,2.846278805,138.0984586
CPIAUCSL,2.044275302,1.400024038,2.216356231,1.626559392,2.197736807,1.336745045,2.013179537,1.362218797,1.781187133,1.291975328,1.74694957,1.261746428,2.394266808,1.498121513,2.056867035,1.398127116,CPIAUCSL,1.77474614,1.80333382,1.77474614,1.80333382,1.984504673,1.887206456,2.21911911,1.974587848,2.458408078,2.066709854
PPIACO,2.057777701,4.489509786,3.328701038,5.335533979,2.110917318,4.522948493,2.060175157,4.540748423,2.261089148,4.423877327,2.157081388,4.182101192,2.434870483,4.801721709,2.024873721,4.527365891,PPIACO,2.60779292,4.79949657,2.60779292,4.79949657,2.750527685,4.847877537,2.897330445,4.899124056,3.026021734,4.947138803
