sasdate,CMRMTSPLx,GDPCTPI,FEDFUNDS,INDPRO,PCECC96,GDPC1,CPIAUCSL,PPIACO
1979/9/1,-940.9713,0.802,0.7667,-0.1488,43.933,42.928,0.1,2.4333
1979/12/1,-4109.9817,0.715,2.63,0.2031,-30.55,-33.134,0.0333,2.8
1980/3/1,-4297.414,0.874,1.47,0.2157,-16.757,4.435,0.6667,3.8333
1980/6/1,-28557.0513,0.967,-2.36,-2.2687,-90.217,-162.326,-0.3333,1.7334
1980/9/1,10225.028,0.932,-2.85,-0.8406,142.21,132.929,-1.1334,2.9
1980/12/1,22164.0283,1.132,6.0166,1.937,11.246,132.7,0.8001,2.1
1981/3/1,1029.8227,1.162,0.7167,0.1246,-42.762,8.766,0.0332,2.8333
1981/6/1,-7873.0217,0.845,1.21,0.1609,-14.04,-184.99,-0.5332,2.1667
1981/9/1,-3968.6663,0.891,-0.2033,0.5055,19.574,134.059,0.6666,0.6666
1981/12/1,-16677.2844,0.772,-3.99,-1.1594,-49.43,-158.606,-1,-0.1
1982/3/1,-3227.397,0.681,0.64,-1.0666,61.139,-31.197,-0.6667,0.8667
1982/6/1,3146.5857,0.64,0.2866,-0.6488,-18.434,138.225,0.5334,0.1
1982/9/1,-9613.65,0.678,-3.5066,-0.7176,15.894,-57.093,0.2999,0.4333
1982/12/1,-6202.205,0.501,-1.72,-0.9318,47.375,28.811,-1.3666,0.1
1983/3/1,11491.7853,0.399,-0.6334,0.5629,-32.535,86.931,-0.2333,0.0334
1983/6/1,16160.6804,0.374,0.15,1.0914,47.403,67.191,1.0666,0.3666
1983/9/1,14810.1493,0.54,0.6567,1.7214,-9.261,-15.924,-0.1666,0.9667
1983/12/1,20106.4993,0.384,-0.03,1.3689,-7.826,9.083,0.0333,0.5
1984/3/1,13556.0844,0.51,0.2567,1.5618,-34.949,-6.519,0.4333,1.1333
1984/6/1,8895.2283,0.469,0.87,0.8443,27.57,-14.181,-0.4666,0.7
1984/9/1,1630.6227,0.476,0.8333,0.3954,-30.958,-55.906,-0.0667,-0.2333
1984/12/1,6116.316,0.371,-2.1233,0.0274,27.253,-10.299,-1.42E-14,-0.2667
1985/3/1,4129.0206,0.548,-0.79,0.1843,20.742,12.004,0.0667,-0.2666
1985/6/1,5216.808,0.32,-0.5534,0.0377,-37.783,-6.207,-0.0001,0.1
1985/9/1,4936.293,0.361,-0.0233,-0.077,50.138,51.649,-0.2999,-0.7
1985/12/1,1027.284,0.285,0.2033,0.3294,-85.057,-60.973,0.4333,0.6333
1986/3/1,6798.3507,0.271,-0.2766,0.3404,34.04,15.799,-0.5333,-1.5667
1986/6/1,9621.689,0.194,-0.9067,-0.349,11.661,-38.664,-1.1001,-1.9
1986/9/1,10694.2443,0.264,-0.7133,0.2219,36.46,41.636,1.2001,-0.4666
1986/12/1,4609.238,0.331,0.06,0.6517,-60.398,-33.954,0.1,0.3666
1987/3/1,3281.554,0.325,-0.0467,0.7601,-27.539,17.527,0.5666,1.1667
1987/6/1,6939.243,0.383,0.43,1.0168,68.402,28.394,-0.0666,1.6
1987/9/1,8514.4394,0.438,0.1933,1.107,-11.237,-16.901,-0.0667,1.1667
1987/12/1,3999.5526,0.43,0.0734,1.4705,-50.829,73.125,-0.1334,0.5
1988/3/1,10936.257,0.446,-0.2534,0.5606,86.409,-101.683,-0.1666,0.6
1988/6/1,10369.3044,0.58,0.4934,0.5317,-56.399,69.791,0.4334,1.7333
1988/9/1,3799.4266,0.719,0.8266,0.2267,8.869,-62.841,0.0999,1.5
1988/12/1,12973.9007,0.547,0.4867,0.4559,14.724,66.684,-0.1333,0.5
1989/3/1,1306.5293,0.577,0.9733,0.2867,-38.37,-26.883,0.0667,2.4333
1989/6/1,-1943.293,0.655,0.2834,-0.2297,0.291,-22.126,0.5999,1.8667
1989/9/1,420.1374,0.454,-0.6434,-0.3906,29.532,-1.523,-0.9999,-0.4
1989/12/1,720.114,0.421,-0.47,0.2716,-31.045,-49.741,0.3,0.4333
1990/3/1,6868.5853,0.676,-0.3633,0.421,24.319,82.956,0.8999,1.6667
1990/6/1,2597.826,0.702,-0.0067,0.4787,-31.787,-67.199,-0.8999,-0.1667
1990/9/1,-340.594,0.549,-0.0833,0.2687,5.563,-27.714,0.9666,2.1334
1990/12/1,-18541.8803,0.489,-0.4167,-1.0018,-69.785,-91.81,0.0001,3.4
1991/3/1,-11451.168,0.627,-1.3166,-1.2039,23.411,41.992,-1.2334,-2.4
1991/6/1,15890.3203,0.469,-0.5634,0.3643,72.031,115.845,-0.2,-1.1667
1991/9/1,8466.2063,0.503,-0.22,0.8898,-19.47,-25.072,0.2333,-0.1667
1991/12/1,-2979.8846,0.384,-0.8266,0.1501,-33.049,-14.483,0.1,0.1
1992/3/1,9479.9506,0.267,-0.7934,-0.0711,116.27,80.061,-0.1999,-0.3333
1992/6/1,5975.424,0.398,-0.2533,1.1362,-71.416,-9.395,0.1332,1.2667
1992/9/1,8708.2187,0.321,-0.5133,0.4997,24.668,-8.139,1.00E-04,0.7
1992/12/1,11066.1483,0.475,-0.22,0.6913,8.234,6.284,0.1666,-0.0334
1993/3/1,8190.769,0.404,0.0033,0.586,-50.402,-85.068,-0.1999,0.5334
1993/6/1,3680.5357,0.403,-0.04,0.152,33.605,40.911,-0.0001,1.1333
1993/9/1,6549.569,0.345,0.06,0.2625,13.595,-10.08,-0.3666,-0.6333
1993/12/1,13235.3757,0.406,-0.07,1.0189,-14.481,88.114,0.5333,0.0333
