sasdate,FACTOR,PCECC96,GDPC1,CPIAUCSL,PPIACO
1983/12/1,7108.709297,-7.826,9.083,0.0333,0.5
1984/3/1,4792.774543,-34.949,-6.519,0.4333,1.1333
1984/6/1,3144.929468,27.57,-14.181,-0.4666,0.7
1984/9/1,576.4637473,-30.958,-55.906,-0.0667,-0.2333
1984/12/1,2162.440277,27.253,-10.299,-1.42E-14,-0.2667
1985/3/1,1459.840198,20.742,12.004,0.0667,-0.2666
1985/6/1,1844.400939,-37.783,-6.207,-0.0001,0.1
1985/9/1,1745.28905,50.138,51.649,-0.2999,-0.7
1985/12/1,363.13272,-85.057,-60.973,0.4333,0.6333
1986/3/1,2403.595229,34.04,15.799,-0.5333,-1.5667
1986/6/1,3401.750106,11.661,-38.664,-1.1001,-1.9
1986/9/1,3781.016974,36.46,41.636,1.2001,-0.4666
1986/12/1,1629.567501,-60.398,-33.954,0.1,0.3666
1987/3/1,1160.206075,-27.539,17.527,0.5666,1.1667
1987/6/1,2453.426686,68.402,28.394,-0.0666,1.6
1987/9/1,3010.287519,-11.237,-16.901,-0.0667,1.1667
1987/12/1,1414.087678,-50.829,73.125,-0.1334,0.5
1988/3/1,3866.497579,86.409,-101.683,-0.1666,0.6
1988/6/1,3666.126168,-56.399,69.791,0.4334,1.7333
1988/9/1,1343.2568,8.869,-62.841,0.0999,1.5
1988/12/1,4587.006342,14.724,66.684,-0.1333,0.5
1989/3/1,461.8974533,-38.37,-26.883,0.0667,2.4333
1989/6/1,-687.0713245,0.291,-22.126,0.5999,1.8667
1989/9/1,148.5481249,29.532,-1.523,-0.9999,-0.4
1989/12/1,254.5552159,-31.045,-49.741,0.3,0.4333
1990/3/1,2428.470073,24.319,82.956,0.8999,1.6667
1990/6/1,918.4130285,-31.787,-67.199,-0.8999,-0.1667
1990/9/1,-120.4351972,5.563,-27.714,0.9666,2.1334
1990/12/1,-6555.613056,-69.785,-91.81,0.0001,3.4
1991/3/1,-4048.554937,23.411,41.992,-1.2334,-2.4
1991/6/1,5618.164217,72.031,115.845,-0.2,-1.1667
1991/9/1,2993.226582,-19.47,-25.072,0.2333,-0.1667
1991/12/1,-1053.565413,-33.049,-14.483,0.1,0.1
1992/3/1,3351.749563,116.27,80.061,-0.1999,-0.3333
1992/6/1,2112.59978,-71.416,-9.395,0.1332,1.2667
1992/9/1,3078.815015,24.668,-8.139,0.0001,0.7
1992/12/1,3912.472299,8.234,6.284,0.1666,-0.0334
1993/3/1,2895.795045,-50.402,-85.068,-0.1999,0.5334
1993/6/1,1301.300711,33.605,40.911,-0.0001,1.1333
1993/9/1,2315.614229,13.595,-10.08,-0.3666,-0.6333
1993/12/1,4679.457752,-14.481,88.114,0.5333,0.0333
1994/3/1,4828.220765,17.934,-37.503,-0.4667,0.4667
1994/6/1,3955.717177,-23.391,40.16,0.1,0.6666
1994/9/1,5000.213931,-0.638,-77.702,0.5334,0.9334
1994/12/1,6363.057222,21.84,58.627,-0.5,0.4666
1995/3/1,2613.972657,-55.852,-81.718,0.2333,2
1995/6/1,-472.9878313,42.873,-5.816,0.1333,1.5
