,aic,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PPIACO Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001-06-01,11.473912611183996,27.860068295229517,83.00487677980013,-0.03327580184504361,1.639623491822349,-14.276,115.11,-0.4334,-1.5334
2001-09-01,11.573904542400744,63.00484434783897,-111.38636074096637,-0.5109531324298373,-0.31602642858724905,9.422,-132.494,-0.7333,-2.8666
2001-12-01,11.638145509824362,37.48356086067729,66.75158586260493,0.1970146101380219,-0.7182967924035024,102.089,91.275,-0.6333,-3.9667
2002-03-01,11.746232546225457,-31.881103028590726,67.27513956195853,0.40975349216179446,-2.173999988341329,-104.824,80.068,0.7,-0.5
2002-06-01,11.821706259165959,50.02635559332612,-48.48277240504417,0.24972536312644084,-1.252641741387286,18.766,-34.993,0.8333,1.9333
2002-09-01,11.882569643481217,-0.2598571773586995,-35.05106111629689,-0.36171328958888704,0.06360867960826311,19.349,-21.23,-0.4334,0.8334
2002-12-01,11.888080090940806,-37.30389523944423,16.73725833640536,0.10714552378161464,1.1286240729723467,-13.189,-38.96,0.1001,1.4
2003-03-01,11.902118042511347,-11.308928291090279,53.50540310944105,0.353433291525137,1.7879661043390072,-9.272,54.261,0.8,4.9666
2003-06-01,11.970057851089873,-23.867776879930638,-44.727355512342044,-0.07297548051969308,2.5991458567397476,60.353,42.068999999999996,-2.1667,-0.8666
2003-09-01,12.184937078046909,13.84120623146628,26.36909813274027,0.37467659328672775,-0.4780246446603974,33.2,116.24,1.6666,0.9
2003-12-01,12.266958881939221,-74.34408471931471,-150.1034481223731,0.06359374884446894,3.085379247397243,-72.578,-72.958,-0.6666,1.1666
2004-03-01,12.294494244398077,54.95152681427975,-3.4129248738602413,-0.5413625517685994,-0.8116274160468,20.59,-85.07,0.8667,2.9667
2004-06-01,12.378198968515997,-18.578801871222854,51.37905941392381,-0.05665230750165323,2.227412507423776,-24.948,32.874,-0.1,4.0667
2004-09-01,12.409845976791368,-2.0171332027422544,-5.521291759696378,-0.23791709199633404,1.6863645428677143,47.115,27.085,-0.2667,1.4333
2004-12-01,12.422988178919313,-19.135998997656834,13.85152352735243,0.1588133865226606,1.9851763318362963,-0.5920000000000001,9.431000000000001,0.8333,2.8333
2005-03-01,12.448105428445727,-47.338919241441886,-60.78439490942446,-0.49952189480277337,2.454884285514399,-48.648,16.834,-1.0666,1.5334
2005-06-01,12.473805037793689,58.47814281505278,-33.37664235022299,0.32024555084853845,0.9525298242024096,55.086000000000006,-93.546,0.3333,2.4666
2005-09-01,12.492523676858493,-18.991663800225595,83.92582886943904,0.11621123420415952,1.8153588571118613,-15.187000000000001,64.092,1.6333,4.1667
2005-12-01,12.581187627002969,-64.34780547642708,-48.51832195792309,-1.1260895457348328,2.1784722822827507,-67.404,-37.729,-1.1,5.6
2006-03-01,12.66481293067993,52.30880219528505,-24.10463245956781,0.3090973242625932,3.3456429856526033,83.34100000000001,105.88600000000001,-0.7999,-1.5333
2006-06-01,12.764359983952698,17.32712398447189,-60.189856504309844,0.6852112234542204,1.0124407337006593,-61.343999999999994,-164.75,0.7666,2.6333
2006-09-01,12.81314971663146,9.896373184031555,35.6685867252268,-0.7131593106289824,1.1512340813293225,10.658,-12.015999999999998,0.1,1.3
2006-12-01,12.845756266007866,4.023483970039948,66.79944256938789,-0.31302642967066197,0.7546345609157814,37.900999999999996,106.897,-2.7334,-2.5667
2007-03-01,13.002167962813592,61.73663404995697,57.09397430469731,1.734335601709485,-1.211439161513686,-41.903,-94.16,2.8171,2.5667
2007-06-01,13.077972164444894,2.6787394161817986,40.856504228941105,-0.5987643102980513,1.3501880607110108,-39.202,52.357,0.3303,6.1333
2007-09-01,13.17139149782835,38.02772871834039,-67.55770692111096,-1.62935290993266,-0.03348927162507105,40.066,-4.104,-1.006,0.8334
2007-12-01,13.18269345045755,-3.911239164952349,8.014795358399503,0.5390717280805033,2.353470867583317,-29.333000000000002,10.575999999999999,1.2427,3.7666
2008-03-01,13.193958060947473,-33.59914313036375,-134.4928531123056,-0.27348210299818493,3.561245891986415,-58.676,-185.813,-0.2707,6.4334
2008-06-01,13.242695797748043,55.74341950970344,135.95798619907598,-0.630833407022059,1.540277579629835,45.625,171.50900000000001,0.488,12.1333
2008-09-01,13.647524384161658,-19.802644532796887,19.140903051651463,0.8869724754417809,7.635039530560591,-97.09299999999999,-166.201,0.5553,4.4667
