,MAPE,rmse,MAPE,rmse
PCECC96,5.540996534890219,53.7572191906825,4.219654280093912,48.17887760586056
GDPC1,2.909736965535399,90.77442115057224,2.6327284781439664,89.2214602007404
CPIAUCSL,2.3942668076067752,1.4981215125252447,2.0568670352782847,1.3981271163827416
PPIACO,2.434870483069704,4.801721709478498,2.0248737207238117,4.52736589124177
